# GLAD-AZI - global azimuthal anisotropy model
# lon lat amplitude azimuth
-180.0 90.0 0.001810 6.671167
-179.0 90.0 0.001810 6.671167
-178.0 90.0 0.001810 6.671167
-177.0 90.0 0.001810 6.671167
-176.0 90.0 0.001810 6.671167
-175.0 90.0 0.001810 6.671167
-174.0 90.0 0.001810 6.671167
-173.0 90.0 0.001810 6.671167
-172.0 90.0 0.001810 6.671167
-171.0 90.0 0.001810 6.671167
-170.0 90.0 0.001810 6.671167
-169.0 90.0 0.001810 6.671167
-168.0 90.0 0.001810 6.671167
-167.0 90.0 0.001810 6.671167
-166.0 90.0 0.001810 6.671167
-165.0 90.0 0.001810 6.671167
-164.0 90.0 0.001810 6.671167
-163.0 90.0 0.001810 6.671167
-162.0 90.0 0.001810 6.671167
-161.0 90.0 0.001810 6.671167
-160.0 90.0 0.001810 6.671167
-159.0 90.0 0.001810 6.671167
-158.0 90.0 0.001810 6.671167
-157.0 90.0 0.001810 6.671167
-156.0 90.0 0.001810 6.671167
-155.0 90.0 0.001810 6.671167
-154.0 90.0 0.001810 6.671167
-153.0 90.0 0.001810 6.671167
-152.0 90.0 0.001810 6.671167
-151.0 90.0 0.001810 6.671167
-150.0 90.0 0.001810 6.671167
-149.0 90.0 0.001810 6.671167
-148.0 90.0 0.001810 6.671167
-147.0 90.0 0.001810 6.671167
-146.0 90.0 0.001810 6.671167
-145.0 90.0 0.001810 6.671167
-144.0 90.0 0.001810 6.671167
-143.0 90.0 0.001810 6.671167
-142.0 90.0 0.001810 6.671167
-141.0 90.0 0.001810 6.671167
-140.0 90.0 0.001810 6.671167
-139.0 90.0 0.001810 6.671167
-138.0 90.0 0.001810 6.671167
-137.0 90.0 0.001810 6.671167
-136.0 90.0 0.001810 6.671167
-135.0 90.0 0.001810 6.671167
-134.0 90.0 0.001810 6.671167
-133.0 90.0 0.001810 6.671167
-132.0 90.0 0.001810 6.671167
-131.0 90.0 0.001810 6.671167
-130.0 90.0 0.001810 6.671167
-129.0 90.0 0.001810 6.671167
-128.0 90.0 0.001810 6.671167
-127.0 90.0 0.001810 6.671167
-126.0 90.0 0.001810 6.671167
-125.0 90.0 0.001810 6.671167
-124.0 90.0 0.001810 6.671167
-123.0 90.0 0.001810 6.671167
-122.0 90.0 0.001810 6.671167
-121.0 90.0 0.001810 6.671167
-120.0 90.0 0.001810 6.671167
-119.0 90.0 0.001810 6.671167
-118.0 90.0 0.001810 6.671167
-117.0 90.0 0.001810 6.671167
-116.0 90.0 0.001810 6.671167
-115.0 90.0 0.001810 6.671167
-114.0 90.0 0.001810 6.671167
-113.0 90.0 0.001810 6.671167
-112.0 90.0 0.001810 6.671167
-111.0 90.0 0.001810 6.671167
-110.0 90.0 0.001810 6.671167
-109.0 90.0 0.001810 6.671167
-108.0 90.0 0.001810 6.671167
-107.0 90.0 0.001810 6.671167
-106.0 90.0 0.001810 6.671167
-105.0 90.0 0.001810 6.671167
-104.0 90.0 0.001810 6.671167
-103.0 90.0 0.001810 6.671167
-102.0 90.0 0.001810 6.671167
-101.0 90.0 0.001810 6.671167
-100.0 90.0 0.001810 6.671167
-99.0 90.0 0.001810 6.671167
-98.0 90.0 0.001810 6.671167
-97.0 90.0 0.001810 6.671167
-96.0 90.0 0.001810 6.671167
-95.0 90.0 0.001810 6.671167
-94.0 90.0 0.001810 6.671167
-93.0 90.0 0.001810 6.671167
-92.0 90.0 0.001810 6.671167
-91.0 90.0 0.001810 6.671167
-90.0 90.0 0.001810 6.671167
-89.0 90.0 0.001810 6.671167
-88.0 90.0 0.001810 6.671167
-87.0 90.0 0.001810 6.671167
-86.0 90.0 0.001810 6.671167
-85.0 90.0 0.001810 6.671167
-84.0 90.0 0.001810 6.671167
-83.0 90.0 0.001810 6.671167
-82.0 90.0 0.001810 6.671167
-81.0 90.0 0.001810 6.671167
-80.0 90.0 0.001810 6.671167
-79.0 90.0 0.001810 6.671167
-78.0 90.0 0.001810 6.671167
-77.0 90.0 0.001810 6.671167
-76.0 90.0 0.001810 6.671167
-75.0 90.0 0.001810 6.671167
-74.0 90.0 0.001810 6.671167
-73.0 90.0 0.001810 6.671167
-72.0 90.0 0.001810 6.671167
-71.0 90.0 0.001810 6.671167
-70.0 90.0 0.001810 6.671167
-69.0 90.0 0.001810 6.671167
-68.0 90.0 0.001810 6.671167
-67.0 90.0 0.001810 6.671167
-66.0 90.0 0.001810 6.671167
-65.0 90.0 0.001810 6.671167
-64.0 90.0 0.001810 6.671167
-63.0 90.0 0.001810 6.671167
-62.0 90.0 0.001810 6.671167
-61.0 90.0 0.001810 6.671167
-60.0 90.0 0.001810 6.671167
-59.0 90.0 0.001810 6.671167
-58.0 90.0 0.001810 6.671167
-57.0 90.0 0.001810 6.671167
-56.0 90.0 0.001810 6.671167
-55.0 90.0 0.001810 6.671167
-54.0 90.0 0.001810 6.671167
-53.0 90.0 0.001810 6.671167
-52.0 90.0 0.001810 6.671167
-51.0 90.0 0.001810 6.671167
-50.0 90.0 0.001810 6.671167
-49.0 90.0 0.001810 6.671167
-48.0 90.0 0.001810 6.671167
-47.0 90.0 0.001810 6.671167
-46.0 90.0 0.001810 6.671167
-45.0 90.0 0.001810 6.671167
-44.0 90.0 0.001810 6.671167
-43.0 90.0 0.001810 6.671167
-42.0 90.0 0.001810 6.671167
-41.0 90.0 0.001810 6.671167
-40.0 90.0 0.001810 6.671167
-39.0 90.0 0.001810 6.671167
-38.0 90.0 0.001810 6.671167
-37.0 90.0 0.001810 6.671167
-36.0 90.0 0.001810 6.671167
-35.0 90.0 0.001810 6.671167
-34.0 90.0 0.001810 6.671167
-33.0 90.0 0.001810 6.671167
-32.0 90.0 0.001810 6.671167
-31.0 90.0 0.001810 6.671167
-30.0 90.0 0.001810 6.671167
-29.0 90.0 0.001810 6.671167
-28.0 90.0 0.001810 6.671167
-27.0 90.0 0.001810 6.671167
-26.0 90.0 0.001810 6.671167
-25.0 90.0 0.001810 6.671167
-24.0 90.0 0.001810 6.671167
-23.0 90.0 0.001810 6.671167
-22.0 90.0 0.001810 6.671167
-21.0 90.0 0.001810 6.671167
-20.0 90.0 0.001810 6.671167
-19.0 90.0 0.001810 6.671167
-18.0 90.0 0.001810 6.671167
-17.0 90.0 0.001810 6.671167
-16.0 90.0 0.001810 6.671167
-15.0 90.0 0.001810 6.671167
-14.0 90.0 0.001810 6.671167
-13.0 90.0 0.001810 6.671167
-12.0 90.0 0.001810 6.671167
-11.0 90.0 0.001810 6.671167
-10.0 90.0 0.001810 6.671167
-9.0 90.0 0.001810 6.671167
-8.0 90.0 0.001810 6.671167
-7.0 90.0 0.001810 6.671167
-6.0 90.0 0.001810 6.671167
-5.0 90.0 0.001810 6.671167
-4.0 90.0 0.001810 6.671167
-3.0 90.0 0.001810 6.671167
-2.0 90.0 0.001810 6.671167
-1.0 90.0 0.001810 6.671167
0.0 90.0 0.001810 6.671167
1.0 90.0 0.001810 6.671167
2.0 90.0 0.001810 6.671167
3.0 90.0 0.001810 6.671167
4.0 90.0 0.001810 6.671167
5.0 90.0 0.001810 6.671167
6.0 90.0 0.001810 6.671167
7.0 90.0 0.001810 6.671167
8.0 90.0 0.001810 6.671167
9.0 90.0 0.001810 6.671167
10.0 90.0 0.001810 6.671167
11.0 90.0 0.001810 6.671167
12.0 90.0 0.001810 6.671167
13.0 90.0 0.001810 6.671167
14.0 90.0 0.001810 6.671167
15.0 90.0 0.001810 6.671167
16.0 90.0 0.001810 6.671167
17.0 90.0 0.001810 6.671167
18.0 90.0 0.001810 6.671167
19.0 90.0 0.001810 6.671167
20.0 90.0 0.001810 6.671167
21.0 90.0 0.001810 6.671167
22.0 90.0 0.001810 6.671167
23.0 90.0 0.001810 6.671167
24.0 90.0 0.001810 6.671167
25.0 90.0 0.001810 6.671167
26.0 90.0 0.001810 6.671167
27.0 90.0 0.001810 6.671167
28.0 90.0 0.001810 6.671167
29.0 90.0 0.001810 6.671167
30.0 90.0 0.001810 6.671167
31.0 90.0 0.001810 6.671167
32.0 90.0 0.001810 6.671167
33.0 90.0 0.001810 6.671167
34.0 90.0 0.001810 6.671167
35.0 90.0 0.001810 6.671167
36.0 90.0 0.001810 6.671167
37.0 90.0 0.001810 6.671167
38.0 90.0 0.001810 6.671167
39.0 90.0 0.001810 6.671167
40.0 90.0 0.001810 6.671167
41.0 90.0 0.001810 6.671167
42.0 90.0 0.001810 6.671167
43.0 90.0 0.001810 6.671167
44.0 90.0 0.001810 6.671167
45.0 90.0 0.001810 6.671167
46.0 90.0 0.001810 6.671167
47.0 90.0 0.001810 6.671167
48.0 90.0 0.001810 6.671167
49.0 90.0 0.001810 6.671167
50.0 90.0 0.001810 6.671167
51.0 90.0 0.001810 6.671167
52.0 90.0 0.001810 6.671167
