# GLAD-AZI - global azimuthal anisotropy model
# lon lat amplitude azimuth
-180.0 90.0 0.001637 6.178329
-179.0 90.0 0.001637 6.178329
-178.0 90.0 0.001637 6.178329
-177.0 90.0 0.001637 6.178329
-176.0 90.0 0.001637 6.178329
-175.0 90.0 0.001637 6.178329
-174.0 90.0 0.001637 6.178329
-173.0 90.0 0.001637 6.178329
-172.0 90.0 0.001637 6.178329
-171.0 90.0 0.001637 6.178329
-170.0 90.0 0.001637 6.178329
-169.0 90.0 0.001637 6.178329
-168.0 90.0 0.001637 6.178329
-167.0 90.0 0.001637 6.178329
-166.0 90.0 0.001637 6.178329
-165.0 90.0 0.001637 6.178329
-164.0 90.0 0.001637 6.178329
-163.0 90.0 0.001637 6.178329
-162.0 90.0 0.001637 6.178329
-161.0 90.0 0.001637 6.178329
-160.0 90.0 0.001637 6.178329
-159.0 90.0 0.001637 6.178329
-158.0 90.0 0.001637 6.178329
-157.0 90.0 0.001637 6.178329
-156.0 90.0 0.001637 6.178329
-155.0 90.0 0.001637 6.178329
-154.0 90.0 0.001637 6.178329
-153.0 90.0 0.001637 6.178329
-152.0 90.0 0.001637 6.178329
-151.0 90.0 0.001637 6.178329
-150.0 90.0 0.001637 6.178329
-149.0 90.0 0.001637 6.178329
-148.0 90.0 0.001637 6.178329
-147.0 90.0 0.001637 6.178329
-146.0 90.0 0.001637 6.178329
-145.0 90.0 0.001637 6.178329
-144.0 90.0 0.001637 6.178329
-143.0 90.0 0.001637 6.178329
-142.0 90.0 0.001637 6.178329
-141.0 90.0 0.001637 6.178329
-140.0 90.0 0.001637 6.178329
-139.0 90.0 0.001637 6.178329
-138.0 90.0 0.001637 6.178329
-137.0 90.0 0.001637 6.178329
-136.0 90.0 0.001637 6.178329
-135.0 90.0 0.001637 6.178329
-134.0 90.0 0.001637 6.178329
-133.0 90.0 0.001637 6.178329
-132.0 90.0 0.001637 6.178329
-131.0 90.0 0.001637 6.178329
-130.0 90.0 0.001637 6.178329
-129.0 90.0 0.001637 6.178329
-128.0 90.0 0.001637 6.178329
-127.0 90.0 0.001637 6.178329
-126.0 90.0 0.001637 6.178329
-125.0 90.0 0.001637 6.178329
-124.0 90.0 0.001637 6.178329
-123.0 90.0 0.001637 6.178329
-122.0 90.0 0.001637 6.178329
-121.0 90.0 0.001637 6.178329
-120.0 90.0 0.001637 6.178329
-119.0 90.0 0.001637 6.178329
-118.0 90.0 0.001637 6.178329
-117.0 90.0 0.001637 6.178329
-116.0 90.0 0.001637 6.178329
-115.0 90.0 0.001637 6.178329
-114.0 90.0 0.001637 6.178329
-113.0 90.0 0.001637 6.178329
-112.0 90.0 0.001637 6.178329
-111.0 90.0 0.001637 6.178329
-110.0 90.0 0.001637 6.178329
-109.0 90.0 0.001637 6.178329
-108.0 90.0 0.001637 6.178329
-107.0 90.0 0.001637 6.178329
-106.0 90.0 0.001637 6.178329
-105.0 90.0 0.001637 6.178329
-104.0 90.0 0.001637 6.178329
-103.0 90.0 0.001637 6.178329
-102.0 90.0 0.001637 6.178329
-101.0 90.0 0.001637 6.178329
-100.0 90.0 0.001637 6.178329
-99.0 90.0 0.001637 6.178329
-98.0 90.0 0.001637 6.178329
-97.0 90.0 0.001637 6.178329
-96.0 90.0 0.001637 6.178329
-95.0 90.0 0.001637 6.178329
-94.0 90.0 0.001637 6.178329
-93.0 90.0 0.001637 6.178329
-92.0 90.0 0.001637 6.178329
-91.0 90.0 0.001637 6.178329
-90.0 90.0 0.001637 6.178329
-89.0 90.0 0.001637 6.178329
-88.0 90.0 0.001637 6.178329
-87.0 90.0 0.001637 6.178329
-86.0 90.0 0.001637 6.178329
-85.0 90.0 0.001637 6.178329
-84.0 90.0 0.001637 6.178329
-83.0 90.0 0.001637 6.178329
-82.0 90.0 0.001637 6.178329
-81.0 90.0 0.001637 6.178329
-80.0 90.0 0.001637 6.178329
-79.0 90.0 0.001637 6.178329
-78.0 90.0 0.001637 6.178329
-77.0 90.0 0.001637 6.178329
-76.0 90.0 0.001637 6.178329
-75.0 90.0 0.001637 6.178329
-74.0 90.0 0.001637 6.178329
-73.0 90.0 0.001637 6.178329
-72.0 90.0 0.001637 6.178329
-71.0 90.0 0.001637 6.178329
-70.0 90.0 0.001637 6.178329
-69.0 90.0 0.001637 6.178329
-68.0 90.0 0.001637 6.178329
-67.0 90.0 0.001637 6.178329
-66.0 90.0 0.001637 6.178329
-65.0 90.0 0.001637 6.178329
-64.0 90.0 0.001637 6.178329
-63.0 90.0 0.001637 6.178329
-62.0 90.0 0.001637 6.178329
-61.0 90.0 0.001637 6.178329
-60.0 90.0 0.001637 6.178329
-59.0 90.0 0.001637 6.178329
-58.0 90.0 0.001637 6.178329
-57.0 90.0 0.001637 6.178329
-56.0 90.0 0.001637 6.178329
-55.0 90.0 0.001637 6.178329
-54.0 90.0 0.001637 6.178329
-53.0 90.0 0.001637 6.178329
-52.0 90.0 0.001637 6.178329
-51.0 90.0 0.001637 6.178329
-50.0 90.0 0.001637 6.178329
-49.0 90.0 0.001637 6.178329
-48.0 90.0 0.001637 6.178329
-47.0 90.0 0.001637 6.178329
-46.0 90.0 0.001637 6.178329
-45.0 90.0 0.001637 6.178329
-44.0 90.0 0.001637 6.178329
-43.0 90.0 0.001637 6.178329
-42.0 90.0 0.001637 6.178329
-41.0 90.0 0.001637 6.178329
-40.0 90.0 0.001637 6.178329
-39.0 90.0 0.001637 6.178329
-38.0 90.0 0.001637 6.178329
-37.0 90.0 0.001637 6.178329
-36.0 90.0 0.001637 6.178329
-35.0 90.0 0.001637 6.178329
-34.0 90.0 0.001637 6.178329
-33.0 90.0 0.001637 6.178329
-32.0 90.0 0.001637 6.178329
-31.0 90.0 0.001637 6.178329
-30.0 90.0 0.001637 6.178329
-29.0 90.0 0.001637 6.178329
-28.0 90.0 0.001637 6.178329
-27.0 90.0 0.001637 6.178329
-26.0 90.0 0.001637 6.178329
-25.0 90.0 0.001637 6.178329
-24.0 90.0 0.001637 6.178329
-23.0 90.0 0.001637 6.178329
-22.0 90.0 0.001637 6.178329
-21.0 90.0 0.001637 6.178329
