# GLAD-AZI - global azimuthal anisotropy model
# lon lat amplitude azimuth
-14.0 90.0 0.002623 6.909982
-13.0 90.0 0.002623 6.909982
-12.0 90.0 0.002623 6.909982
-11.0 90.0 0.002623 6.909982
-10.0 90.0 0.002623 6.909982
-9.0 90.0 0.002623 6.909982
-8.0 90.0 0.002623 6.909982
-7.0 90.0 0.002623 6.909982
-6.0 90.0 0.002623 6.909982
-5.0 90.0 0.002623 6.909982
-4.0 90.0 0.002623 6.909982
-3.0 90.0 0.002623 6.909982
-2.0 90.0 0.002623 6.909982
-1.0 90.0 0.002623 6.909982
0.0 90.0 0.002623 6.909982
1.0 90.0 0.002623 6.909982
2.0 90.0 0.002623 6.909982
3.0 90.0 0.002623 6.909982
4.0 90.0 0.002623 6.909982
5.0 90.0 0.002623 6.909982
6.0 90.0 0.002623 6.909982
7.0 90.0 0.002623 6.909982
8.0 90.0 0.002623 6.909982
9.0 90.0 0.002623 6.909982
10.0 90.0 0.002623 6.909982
11.0 90.0 0.002623 6.909982
12.0 90.0 0.002623 6.909982
13.0 90.0 0.002623 6.909982
14.0 90.0 0.002623 6.909982
15.0 90.0 0.002623 6.909982
16.0 90.0 0.002623 6.909982
17.0 90.0 0.002623 6.909982
18.0 90.0 0.002623 6.909982
19.0 90.0 0.002623 6.909982
20.0 90.0 0.002623 6.909982
21.0 90.0 0.002623 6.909982
22.0 90.0 0.002623 6.909982
23.0 90.0 0.002623 6.909982
24.0 90.0 0.002623 6.909982
25.0 90.0 0.002623 6.909982
26.0 90.0 0.002623 6.909982
27.0 90.0 0.002623 6.909982
28.0 90.0 0.002623 6.909982
29.0 90.0 0.002623 6.909982
30.0 90.0 0.002623 6.909982
31.0 90.0 0.002623 6.909982
32.0 90.0 0.002623 6.909982
33.0 90.0 0.002623 6.909982
34.0 90.0 0.002623 6.909982
35.0 90.0 0.002623 6.909982
36.0 90.0 0.002623 6.909982
37.0 90.0 0.002623 6.909982
38.0 90.0 0.002623 6.909982
39.0 90.0 0.002623 6.909982
40.0 90.0 0.002623 6.909982
41.0 90.0 0.002623 6.909982
42.0 90.0 0.002623 6.909982
43.0 90.0 0.002623 6.909982
44.0 90.0 0.002623 6.909982
45.0 90.0 0.002623 6.909982
46.0 90.0 0.002623 6.909982
47.0 90.0 0.002623 6.909982
48.0 90.0 0.002623 6.909982
49.0 90.0 0.002623 6.909982
50.0 90.0 0.002623 6.909982
51.0 90.0 0.002623 6.909982
52.0 90.0 0.002623 6.909982
